Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Experimental Measures of News Personalization in Google News","Current Trends in Web Engineering","","","","10.1007/978-3-319-46963-8_8","Vittoria CozzaVan Tien HoangMarinella PetrocchiAngelo Spognardi","2016","http://link.springer.com/chapter/10.1007/978-3-319-46963-8_8","Chapter"
"Recommended for You: “You Don’t Need No Thought Control”. An Analysis of News Personalisation in Light of Article 22 GDPR","Privacy and Identity Management. Data for Better Living: AI and Privacy","","","","10.1007/978-3-030-42504-3_13","Judith Vermeulen","2020","http://link.springer.com/chapter/10.1007/978-3-030-42504-3_13","Chapter"
"Improving News Personalization Through Search Logs","Bias and Social Aspects in Search and Recommendation","","","","10.1007/978-3-030-52485-2_14","Xiao BaiB. Barla CambazogluFrancesco GulloAmin MantrachFabrizio Silvestri","2020","http://link.springer.com/chapter/10.1007/978-3-030-52485-2_14","Chapter"
"Privacy and Identity Management. Data for Better Living: AI and Privacy","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-030-42504-3","Dr. Michael FriedewaldMelek ÖnenProf. Dr. Eva LievensStephan KrennSamuel Fricker","2020","http://link.springer.com/book/10.1007/978-3-030-42504-3","Book"
"Handbook of Global Media Ethics","","","","","10.1007/978-3-319-32103-5","Stephen J.A. Ward","2021","http://link.springer.com/book/10.1007/978-3-319-32103-5","Book"
"Encyclopedia of Database Systems","","","","","10.1007/978-1-4614-8265-9","Ling LiuM. Tamer Özsu","2018","http://link.springer.com/referencework/10.1007/978-1-4614-8265-9","ReferenceWork"
"Partisan Differences in Opinionated News Perceptions: A Test of the Hostile Media Effect","Political Behavior","","33","3","10.1007/s11109-010-9139-4","Lauren Feldman","2011","http://link.springer.com/article/10.1007/s11109-010-9139-4","Article"
"Recommender Systems Handbook","","","","","10.1007/978-1-4899-7637-6","Francesco RicciLior RokachBracha Shapira","2015","http://link.springer.com/book/10.1007/978-1-4899-7637-6","Book"
"Recommender Systems","","","","","10.1007/978-3-319-29659-3","Charu C. Aggarwal","2016","http://link.springer.com/book/10.1007/978-3-319-29659-3","Book"
"Adaptive News Access","The Adaptive Web","","","","10.1007/978-3-540-72079-9_18","Daniel BillsusMichael J. Pazzani","2007","http://link.springer.com/chapter/10.1007/978-3-540-72079-9_18","Chapter"
"Personalized news recommendation based on articles chain building","Neural Computing and Applications","","27","5","10.1007/s00521-015-1932-x","Wanrong GuShoubin DongMingquan Chen","2016","http://link.springer.com/article/10.1007/s00521-015-1932-x","Article"
"PNS: A Personalized News Aggregator on the Web","Intelligent Interactive Systems in Knowledge-Based Environments","","","","10.1007/978-3-540-77471-6_10","Georgios PaliourasAlexandros MouzakidisVassileios MoustakasChristos Skourlas","2008","http://link.springer.com/chapter/10.1007/978-3-540-77471-6_10","Chapter"
"Personalization of Interactive News through J2EE, XML, XSLT, and SMIL in a Web-Based Multimedia Content Management System","Advances in Multimedia Information Processing — PCM 2002","","","","10.1007/3-540-36228-2_36","SoonNyean CheongK.M. AzharM. Hanmandlu","2002","http://link.springer.com/chapter/10.1007/3-540-36228-2_36","Chapter"
"PNS: Personalized Multi-source News Delivery","Knowledge-Based Intelligent Information and Engineering Systems","","","","10.1007/11893004_146","Georgios PaliourasMouzakidis AlexandrosChristos NtoutsisAngelos AlexopoulosChristos Skourlas","2006","http://link.springer.com/chapter/10.1007/11893004_146","Chapter"
"Personalizing News Documents Using Modified Page Rank Algorithms","Intelligent Computing, Networking, and Informatics","","","","10.1007/978-81-322-1665-0_108","S. AkhilanS. R. Balasundaram","2014","http://link.springer.com/chapter/10.1007/978-81-322-1665-0_108","Chapter"
"Automated Personalization of Internet News","Adaptive Hypermedia and Adaptive Web-Based Systems","","","","10.1007/3-540-47952-X_36","Aditya V. Sunderam","2002","http://link.springer.com/chapter/10.1007/3-540-47952-X_36","Chapter"
"Managing Media and Digital Organizations","","","","","10.1007/978-3-319-71288-8","Dr. Eli M. Noam","2019","http://link.springer.com/book/10.1007/978-3-319-71288-8","Book"
"Digital Marketplaces Unleashed","","","","","10.1007/978-3-662-49275-8","Prof. Dr. Claudia Linnhoff-PopienDr. Ralf SchneiderMichael Zaddach","2018","http://link.springer.com/book/10.1007/978-3-662-49275-8","Book"
"Adaptive personalization using social networks","Journal of the Academy of Marketing Science","","44","1","10.1007/s11747-015-0441-x","Tuck Siong ChungMichel WedelRoland T. Rust","2016","http://link.springer.com/article/10.1007/s11747-015-0441-x","Article"
"Analyzing the Interaction of Users with News Articles to Create Personalization Services","Bias and Social Aspects in Search and Recommendation","","","","10.1007/978-3-030-52485-2_15","Alessandro CeliAlejandro PiadJósval Díaz BlancoRomina Eramo","2020","http://link.springer.com/chapter/10.1007/978-3-030-52485-2_15","Chapter"
"A Multimedia, Multichannel, and Personalized News Provider","Interactive Multimedia on Next Generation Networks","","","","10.1007/978-3-540-40012-7_32","M. DelatoA. MartelliM. MartelliV. MascardiA. Verri","2003","http://link.springer.com/chapter/10.1007/978-3-540-40012-7_32","Chapter"
"Quality Education","Encyclopedia of the UN Sustainable Development Goals","","","","10.1007/978-3-319-95870-5","Walter Leal FilhoAnabela Marisa AzulLuciana BrandliPinar Gökçin ÖzuyarTony Wall","2020","http://link.springer.com/referencework/10.1007/978-3-319-95870-5","ReferenceWork"
"Disinformation in Open Online Media","Lecture Notes in Computer Science","","","","10.1007/978-3-030-87031-7","Dr. Jonathan BrightAnastasia GiachanouViktoria SpaiserFrancesca SpezzanoAnna GeorgeAlexandra Pavliuc","2021","http://link.springer.com/book/10.1007/978-3-030-87031-7","Book"
"Combining Adaptive Hypermedia Techniques and Ontology Reasoning to Produce Dynamic Personalized News Services","Adaptive Hypermedia and Adaptive Web-Based Systems","","","","10.1007/11768012_10","Owen ConlanIan O’KeeffeShane Tallon","2006","http://link.springer.com/chapter/10.1007/11768012_10","Chapter"
"Personalization and the Determination of News","Qualitative Sociology","","21","3","10.1023/A:1022150721381","Kristine Ajrouch","1998","http://link.springer.com/article/10.1023/A%3A1022150721381","Article"
"Willing to pay for quality personalization? Trade-off between quality and privacy","European Journal of Information Systems","","21","6","10.1057/ejis.2012.13","Ting LiTill Unger","2012","http://link.springer.com/article/10.1057/ejis.2012.13","Article"
"Personalized Model Combination for News Recommendation in Microblogs","Semantic Technology","","","","10.1007/978-3-319-15615-6_24","Rémi LamLei HouJuanzi Li","2015","http://link.springer.com/chapter/10.1007/978-3-319-15615-6_24","Chapter"
"Personalized News Recommendation Using Ontologies Harvested from the Web","Web-Age Information Management","","","","10.1007/978-3-642-38562-9_79","Junyang RaoAixia JiaYansong FengDongyan Zhao","2013","http://link.springer.com/chapter/10.1007/978-3-642-38562-9_79","Chapter"
"Mobile and Ubiquitous Systems: Computing, Networking and Services","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering","","","","10.1007/978-3-030-94822-1","Takahiro HaraHirozumi Yamaguchi","2022","http://link.springer.com/book/10.1007/978-3-030-94822-1","Book"
"Optimization of Hypergraph Based News Recommendation by Binary Decision Tree","Intelligence Science and Big Data Engineering","","","","10.1007/978-3-030-02698-1_8","Wanrong GuXianfen XieYijun MaoYichen He","2018","http://link.springer.com/chapter/10.1007/978-3-030-02698-1_8","Chapter"
"Personalia/News","Psychiatrie und Psychotherapie","","3","3","10.1007/s11326-007-0065-y","","2007","http://link.springer.com/article/10.1007/s11326-007-0065-y","Article"
"Personalisation","Social News","","","","10.1007/978-3-030-91712-8_5","Edward Hurcombe","2022","http://link.springer.com/chapter/10.1007/978-3-030-91712-8_5","Chapter"
"LISS 2021","Lecture Notes in Operations Research","","","","10.1007/978-981-16-8656-6","Prof. Xianliang ShiGábor BohácsYixuan MaDaqing GongXiaopu Shang","2022","http://link.springer.com/book/10.1007/978-981-16-8656-6","Book"
"Social Media, Personalisation of News Reporting, and Media Systems’ Polarisation in Europe","Social Media and European Politics","","","","10.1057/978-1-137-59890-5_2","Pablo BarberáCristian VaccariAugusto Valeriani","2017","http://link.springer.com/chapter/10.1057/978-1-137-59890-5_2","Chapter"
"Encyclopedia of Machine Learning and Data Mining","","","","","10.1007/978-1-4899-7687-1","Claude SammutGeoffrey I. Webb","2017","http://link.springer.com/referencework/10.1007/978-1-4899-7687-1","ReferenceWork"
"Computational Collective Intelligence","Lecture Notes in Computer Science","","","","10.1007/978-3-030-88081-1","Prof. Ngoc Thanh NguyenLazaros IliadisIlias MaglogiannisBogdan Trawiński","2021","http://link.springer.com/book/10.1007/978-3-030-88081-1","Book"
"Digitaler Strukturwandel der Öffentlichkeit","Mediensymposium","","","","10.1007/978-3-658-32133-8","Prof. Dr. Mark EiseneggerProf. Dr. Marlis PrinzingDr. Patrik EttingerProf. Dr. Roger Blum","2021","http://link.springer.com/book/10.1007/978-3-658-32133-8","Book"
"An Informed Public? News Consumption on Social Media","Beyond Slacktivism","","","","10.1007/978-3-030-00844-4_5","James Dennis","2019","http://link.springer.com/chapter/10.1007/978-3-030-00844-4_5","Chapter"
"Media Augmentation and Personalization Through Multimedia Processing and Information Extraction","Personalized Digital Television","","","","10.1007/1-4020-2164-X_8","Nevenka DimitrovaJohn ZimmermanAngel JanevskiLalitha AgnihotriNorman HaasDongge LiRuud BolleSenem VelipasalarThomas McgeeandLira Nikolovska","2004","http://link.springer.com/chapter/10.1007/1-4020-2164-X_8","Chapter"
"Encyclopedia of Big Data Technologies","","","","","10.1007/978-3-319-77525-8","Sherif SakrAlbert Y. Zomaya","2019","http://link.springer.com/referencework/10.1007/978-3-319-77525-8","ReferenceWork"
"Journalists, Meet Your New Colleague Algorithm: The Impact of Automation on Content Distribution and Content Creation in the Newsroom","Media Trust in a Digital World","","","","10.1007/978-3-030-30774-5_10","Jessica Kunert","2019","http://link.springer.com/chapter/10.1007/978-3-030-30774-5_10","Chapter"
"Complex Networks & Their Applications X","Studies in Computational Intelligence","","","","10.1007/978-3-030-93413-2","Prof. Rosa Maria BenitoProf. Chantal CherifiProf. Hocine CherifiProf. Esteban MoroProf. Luis M. RochaProf. Marta Sales-Pardo","2022","http://link.springer.com/book/10.1007/978-3-030-93413-2","Book"
"Demokratietheorie im Zeitalter der Frühdigitalisierung","","","","","10.1007/978-3-658-30997-8","Dr. Michael OswaldDr. Isabelle Borucki","2020","http://link.springer.com/book/10.1007/978-3-658-30997-8","Book"
"Handbuch Digitale Wirtschaft","","","","","10.1007/978-3-658-17291-6","Prof. Dr. Tobias Kollmann","2020","http://link.springer.com/book/10.1007/978-3-658-17291-6","Book"
"Heterogeneous Graph Representation Learning and Applications","Artificial Intelligence: Foundations, Theory, and Algorithms","","","","10.1007/978-981-16-6166-2","Prof. Chuan ShiProf. Xiao WangProf. Philip S. Yu","2022","http://link.springer.com/book/10.1007/978-981-16-6166-2","Book"
"Towards a Right not to Be Deceived? An Interdisciplinary Analysis of Media Personalization in the Light of the GDPR","Digital Transformation for a Sustainable Society in the 21st Century","","","","10.1007/978-3-030-39634-3_5","Urbano Reviglio","2020","http://link.springer.com/chapter/10.1007/978-3-030-39634-3_5","Chapter"
"News Diversity and Recommendation Systems: Setting the Interdisciplinary Scene","Privacy and Identity Management. Data for Better Living: AI and Privacy","","","","10.1007/978-3-030-42504-3_7","Glen JorisCamiel ColruytJudith VermeulenStefaan VercoutereFrederik De GroveKristin Van DammeOrphée De ClercqCynthia Van HeeLieven De MarezVeronique HosteEva LievensToon De PessemierLuc Martens","2020","http://link.springer.com/chapter/10.1007/978-3-030-42504-3_7","Chapter"
"Personalcasting: Tailored Broadcast News","Personalized Digital Television","","","","10.1007/1-4020-2164-X_7","Mark MayburyWarren GreiffStanley BoykinJay PonteChad MchenryLisa Ferro","2004","http://link.springer.com/chapter/10.1007/1-4020-2164-X_7","Chapter"
"Praxiswissen Online-Marketing","","","","","10.1007/978-3-658-32340-0","Dr. Erwin Lammenett","2021","http://link.springer.com/book/10.1007/978-3-658-32340-0","Book"
"Personalcasting: Tailored Broadcast News","User Modeling and User-Adapted Interaction","","14","1","10.1023/B:USER.0000010142.18921.eb","Mark MayburyWarren GreiffStanley BoykinJay PonteChad McHenryLisa Ferro","2004","http://link.springer.com/article/10.1023/B%3AUSER.0000010142.18921.eb","Article"
"Encyclopedia of Machine Learning","","","","","10.1007/978-0-387-30164-8","Claude SammutGeoffrey I. Webb","2010","http://link.springer.com/referencework/10.1007/978-0-387-30164-8","ReferenceWork"
"Algorithms and Media Ethics in the AI Age","Handbook of Global Media Ethics","","","","10.1007/978-3-319-32103-5_16","Changfeng ChenGaelle A. Chekam","2021","http://link.springer.com/chapter/10.1007/978-3-319-32103-5_16","Chapter"
"Wireless Algorithms, Systems, and Applications","Lecture Notes in Computer Science","","","","10.1007/978-3-030-85928-2","Zhe LiuFan WuProf. Sajal K. Das","2021","http://link.springer.com/book/10.1007/978-3-030-85928-2","Book"
"SERUM: Collecting Semantic User Behavior for Improved News Recommendations","Advances in User Modeling","","","","10.1007/978-3-642-28509-7_37","Till PlumbaumAndreas LommatzschErnesto William De LucaSahin Albayrak","2012","http://link.springer.com/chapter/10.1007/978-3-642-28509-7_37","Chapter"
"Mobile Access to the Físchlár-News Archive","Mobile and Ubiquitous Information Access","","","","10.1007/978-3-540-24641-1_10","Cathal GurrinAlan F. SmeatonHyowon LeeKieran McDonaldNoel MurphyNoel O’ConnorSean Marlow","2004","http://link.springer.com/chapter/10.1007/978-3-540-24641-1_10","Chapter"
"Advanced Information Systems Engineering","Lecture Notes in Computer Science","","","","10.1007/978-3-030-21290-2","Paolo GiorginiBarbara Weber","2019","http://link.springer.com/book/10.1007/978-3-030-21290-2","Book"
"Praxiswissen Online-Marketing","","","","","10.1007/978-3-658-25135-2","Dr. Erwin Lammenett","2019","http://link.springer.com/book/10.1007/978-3-658-25135-2","Book"
"Praxiswissen Online-Marketing","","","","","10.1007/978-3-658-15494-3","Erwin Lammenett","2017","http://link.springer.com/book/10.1007/978-3-658-15494-3","Book"
"Are Most-Viewed News Articles Most-Shared?","Information Retrieval Technology","","","","10.1007/978-3-642-45068-6_35","Yangjie YaoAixin Sun","2013","http://link.springer.com/chapter/10.1007/978-3-642-45068-6_35","Chapter"
"UBS: A Novel News Recommendation System Based on User Behavior Sequence","Knowledge Science, Engineering and Management","","","","10.1007/978-3-319-25159-2_68","Haoye DongJia ZhuYong TangChuanhua XuRui DingLingxiao Chen","2015","http://link.springer.com/chapter/10.1007/978-3-319-25159-2_68","Chapter"
"News Recommendation with CF-IDF+","Advanced Information Systems Engineering","","","","10.1007/978-3-319-91563-0_11","Emma de KoningFrederik HogenboomFlavius Frasincar","2018","http://link.springer.com/chapter/10.1007/978-3-319-91563-0_11","Chapter"
"Automatic Adaptation and Recommendation of News Reports Using Surface-Based Methods","Highlights on Practical Applications of Agents and Multi-Agent Systems","","","","10.1007/978-3-642-28762-6_9","Joel AzzopardiChristopher Staff","2012","http://link.springer.com/chapter/10.1007/978-3-642-28762-6_9","Chapter"
"News@hand: A Semantic Web Approach to Recommending News","Adaptive Hypermedia and Adaptive Web-Based Systems","","","","10.1007/978-3-540-70987-9_34","Iván CantadorAlejandro BellogínPablo Castells","2008","http://link.springer.com/chapter/10.1007/978-3-540-70987-9_34","Chapter"
"IATOPIA News Channel (IAToNews) - An Intelligent Ontological Agent-Based Web News Retrieval and Search System","Knowledge Seeker - Ontology Modelling for Information Search and Management","","","","10.1007/978-3-642-17916-7_11","Edward H. Y. LimJames N. K. LiuRaymond S. T. Lee","2011","http://link.springer.com/chapter/10.1007/978-3-642-17916-7_11","Chapter"
"FreeRec: An Anonymous and Distributed Personalization Architecture","Networked Systems","","","","10.1007/978-3-642-40148-0_5","Antoine BoutetDavide FreyArnaud JégouAnne-Marie KermarrecHeverson B. Ribeiro","2013","http://link.springer.com/chapter/10.1007/978-3-642-40148-0_5","Chapter"
"FreeRec: an anonymous and distributed personalization architecture","Computing","","97","9","10.1007/s00607-013-0377-2","Antoine BoutetDavide FreyArnaud JégouAnne-Marie KermarrecHeverson B. Ribeiro","2015","http://link.springer.com/article/10.1007/s00607-013-0377-2","Article"
"Praxiswissen Online-Marketing","","","","","10.1007/978-3-658-09003-6","Erwin Lammenett","2015","http://link.springer.com/book/10.1007/978-3-658-09003-6","Book"
"Praxiswissen Online-Marketing","","","","","10.1007/978-3-658-03313-2","Erwin Lammenett","2014","http://link.springer.com/book/10.1007/978-3-658-03313-2","Book"
"Food, Nutrition and the Media","","","","","10.1007/978-3-030-46500-1","Valentina Marinescu","2020","http://link.springer.com/book/10.1007/978-3-030-46500-1","Book"
"Emerging Sports as Social Movements","","","","","10.1007/978-3-030-76457-9","Joshua Woods","2021","http://link.springer.com/book/10.1007/978-3-030-76457-9","Book"
"A Survey on Recommender Systems for News Data","Smart Information and Knowledge Management","","","","10.1007/978-3-642-04584-4_6","Hugo L. BorgesAna C. Lorena","2010","http://link.springer.com/chapter/10.1007/978-3-642-04584-4_6","Chapter"
"Asymmetric Missing-data Problems: Overcoming the Lack of Negative Data in Preference Ranking","Information Retrieval","","5","1","10.1023/A:1012714523368","Aleksander KołczJoshua Alspector","2002","http://link.springer.com/article/10.1023/A%3A1012714523368","Article"
"Advanced Topics in Recommender Systems","Recommender Systems","","","","10.1007/978-3-319-29659-3_13","Charu C. Aggarwal","2016","http://link.springer.com/chapter/10.1007/978-3-319-29659-3_13","Chapter"
"An Educational News Dataset for Recommender Systems","ECML PKDD 2020 Workshops","","","","10.1007/978-3-030-65965-3_39","Yujie XingItishree MohallickJon Atle GullaÖzlem ÖzgöbekLemei Zhang","2020","http://link.springer.com/chapter/10.1007/978-3-030-65965-3_39","Chapter"
"Some of the News That’s Fit to Print: Satire and the Changing News Cycle","Is Satire Saving Our Nation?","","","","10.1057/9781137405210_3","Sophia A. McClennenRemy M. Maisel","2014","http://link.springer.com/chapter/10.1057/9781137405210_3","Chapter"
"The Explanatory Gap in Algorithmic News Curation","Disinformation in Open Online Media","","","","10.1007/978-3-030-87031-7_1","Hendrik Heuer","2021","http://link.springer.com/chapter/10.1007/978-3-030-87031-7_1","Chapter"
"Buzzer – Online Real-Time Topical News Article and Source Recommender","Artificial Intelligence and Cognitive Science","","","","10.1007/978-3-642-17080-5_27","Owen PhelanKevin McCarthyBarry Smyth","2010","http://link.springer.com/chapter/10.1007/978-3-642-17080-5_27","Chapter"
"Data Personalization","Data Management in Pervasive Systems","","","","10.1007/978-3-319-20062-0_11","Georgia Koutrika","2015","http://link.springer.com/chapter/10.1007/978-3-319-20062-0_11","Chapter"
"Personalized Document Summarization Using Non-negative Semantic Feature and Non-negative Semantic Variable","Intelligent Data Engineering and Automated Learning – IDEAL 2008","","","","10.1007/978-3-540-88906-9_38","Sun Park","2008","http://link.springer.com/chapter/10.1007/978-3-540-88906-9_38","Chapter"
"News Recommender Based on Rich Feedback","User Modeling, Adaptation and Personalization","","","","10.1007/978-3-319-20267-9_27","Liliana ArdissonoGiovanna PetroneFrancesco Vigliaturo","2015","http://link.springer.com/chapter/10.1007/978-3-319-20267-9_27","Chapter"
"Content-Based News Recommendation","E-Commerce and Web Technologies","","","","10.1007/978-3-642-15208-5_6","Michal KompanMária Bieliková","2010","http://link.springer.com/chapter/10.1007/978-3-642-15208-5_6","Chapter"
"Praxiswissen Online-Marketing","","","","","10.1007/978-3-8349-3636-3","Erwin Lammenett","2012","http://link.springer.com/book/10.1007/978-3-8349-3636-3","Book"
"Exploring Methods of Assessing Influence Relevance of News Articles","Cloud Computing and Security","","","","10.1007/978-3-030-00021-9_47","Qingren WangVictor S. ShengZhaobin Liu","2018","http://link.springer.com/chapter/10.1007/978-3-030-00021-9_47","Chapter"
"Learning the Importance of Latent Topics to Discover Highly Influential News Items","KI 2010: Advances in Artificial Intelligence","","","","10.1007/978-3-642-16111-7_24","Ralf KrestelBhaskar Mehta","2010","http://link.springer.com/chapter/10.1007/978-3-642-16111-7_24","Chapter"
"News Recommenders: Real-Time, Real-Life Experiences","User Modeling, Adaptation and Personalization","","","","10.1007/978-3-319-20267-9_28","Doychin DoychevRachael RafterAonghus LawlorBarry Smyth","2015","http://link.springer.com/chapter/10.1007/978-3-319-20267-9_28","Chapter"
"Semantic User Modelling for Personal News Video Retrieval","Advances in Multimedia Modeling","","","","10.1007/978-3-642-11301-7_35","Frank HopfgartnerJoemon M. Jose","2010","http://link.springer.com/chapter/10.1007/978-3-642-11301-7_35","Chapter"
"Automatic Creation of Daily News Digests from Internet News Sites","Technological Developments in Networking, Education and Automation","","","","10.1007/978-90-481-9151-2_110","David B. Bracewell","2010","http://link.springer.com/chapter/10.1007/978-90-481-9151-2_110","Chapter"
"Legal Personality for AI","Robot Rules","","","","10.1007/978-3-319-96235-1_5","Jacob Turner","2019","http://link.springer.com/chapter/10.1007/978-3-319-96235-1_5","Chapter"
"A Live Comparison of Methods for Personalized Article Recommendation at Forbes.com","Machine Learning and Knowledge Discovery in Databases","","","","10.1007/978-3-642-33486-3_4","Evan KirshenbaumGeorge FormanMichael Dugan","2012","http://link.springer.com/chapter/10.1007/978-3-642-33486-3_4","Chapter"
"Ethics of Personalized Information Filtering","Internet Science","","","","10.1007/978-3-319-18609-2_10","Ansgar KoeneElvira PerezChristopher James CarterRamona StatacheSvenja AdolphsClaire O’MalleyTom RoddenDerek McAuley","2015","http://link.springer.com/chapter/10.1007/978-3-319-18609-2_10","Chapter"
"Glocal News: An Attempt to Visualize the Discovery of Localized Top Local News, Globally","Advances in Conceptual Modeling","","","","10.1007/978-3-319-14139-8_1","Dimitris SpathisTheofilos MouratidisSpyros SioutasAthanasios Tsakalidis","2014","http://link.springer.com/chapter/10.1007/978-3-319-14139-8_1","Chapter"
"What Is Meant By ‘Trust’ In News Media?","Trust in Media and Journalism","","","","10.1007/978-3-658-20765-6_2","Caroline Fisher","2018","http://link.springer.com/chapter/10.1007/978-3-658-20765-6_2","Chapter"
"A personalized credibility model for recommending messages in social participatory media environments","World Wide Web","","18","1","10.1007/s11280-013-0244-2","Aaditeshwar SethJie ZhangRobin Cohen","2015","http://link.springer.com/article/10.1007/s11280-013-0244-2","Article"
"Segmentation in the Market for Television News","Proceedings of the 1985 Academy of Marketing Science (AMS) Annual Conference","","","","10.1007/978-3-319-16943-9_79","Kent L. GranzinDonald M. Jensen","2015","http://link.springer.com/chapter/10.1007/978-3-319-16943-9_79","Chapter"
"A World on Demand: Geography of the 24-Hour Global TV News","Geography and Technology","","","","10.1007/978-1-4020-2353-8_14","David R. RainSusan R. Brooker-Gross","2004","http://link.springer.com/chapter/10.1007/978-1-4020-2353-8_14","Chapter"
"Negative Objectives: The Right-Wing Media Circle and Everyone Else","Super Mad at Everything All the Time","","","","10.1007/978-3-030-06131-9_5","Dr. Alison Dagnes","2019","http://link.springer.com/chapter/10.1007/978-3-030-06131-9_5","Chapter"
"Comparative news summarization using concept-based optimization","Knowledge and Information Systems","","38","3","10.1007/s10115-012-0604-8","Xiaojiang HuangXiaojun WanJianguo Xiao","2014","http://link.springer.com/article/10.1007/s10115-012-0604-8","Article"
"Personalized advertisement system using social relationship based user modeling","Multimedia Tools and Applications","","74","20","10.1007/s11042-013-1691-6","Inay HaKyeong-Jin OhGeun-Sik Jo","2015","http://link.springer.com/article/10.1007/s11042-013-1691-6","Article"
"Topic Modeling for Personalized Recommendation of Volatile Items","Machine Learning and Knowledge Discovery in Databases","","","","10.1007/978-3-642-15883-4_31","Maks OvsjanikovYe Chen","2010","http://link.springer.com/chapter/10.1007/978-3-642-15883-4_31","Chapter"
"Real-Time News Recommender System","Machine Learning and Knowledge Discovery in Databases","","","","10.1007/978-3-642-15939-8_38","Blaž FortunaCarolina FortunaDunja Mladenić","2010","http://link.springer.com/chapter/10.1007/978-3-642-15939-8_38","Chapter"
"Peddling Patriotic Correctness","Cold Breezes and Idiot Winds","","","","10.1007/978-94-6091-409-6_4","Valerie Scatamburlo-D’ Annibale","2011","http://link.springer.com/chapter/10.1007/978-94-6091-409-6_4","Chapter"
"Financial Events Recognition in Web News for Algorithmic Trading","Advances in Conceptual Modeling","","","","10.1007/978-3-642-33999-8_43","Frederik Hogenboom","2012","http://link.springer.com/chapter/10.1007/978-3-642-33999-8_43","Chapter"
"Balkan Yearbook of European and International Law 2020","Balkan Yearbook of European and International Law","","","","10.1007/978-3-030-65295-1","Prof. Dr. Zlatan MeškićProf. Dr. Ivana KundaProf. Dr. Dušan V. PopovićAssist. Prof. Enis Omerović","2021","http://link.springer.com/book/10.1007/978-3-030-65295-1","Book"
"A Genetic Programming Approach for Learning Semantic Information Extraction Rules from News","Web Information Systems Engineering – WISE 2014","","","","10.1007/978-3-319-11749-2_32","Wouter IJntemaFrederik HogenboomFlavius FrasincarDamir Vandic","2014","http://link.springer.com/chapter/10.1007/978-3-319-11749-2_32","Chapter"
"Personal News RSS Feeds Generation Using Existing News Feeds","Web Engineering","","","","10.1007/978-3-642-02818-2_34","Bin LiuHao HanTomoya NoroTakehiro Tokuda","2009","http://link.springer.com/chapter/10.1007/978-3-642-02818-2_34","Chapter"
"Personalized Semantic Search Using ODP: A Study Case in Academic Domain","Computational Science and Its Applications – ICCSA 2013","","","","10.1007/978-3-642-39640-3_44","Trong Hai DuongMohammed Nazim UddinCuong Duc Nguyen","2013","http://link.springer.com/chapter/10.1007/978-3-642-39640-3_44","Chapter"
"A Collaborative Approach to User Modeling for Personalized Content Recommendations","Digital Libraries: Universal and Ubiquitous Access to Information","","","","10.1007/978-3-540-89533-6_22","Heung-Nam KimInay HaSeung-Hoon LeeGeun-Sik Jo","2008","http://link.springer.com/chapter/10.1007/978-3-540-89533-6_22","Chapter"
"Modeling and Learning User Profiles for Personalized Content Service","Asian Digital Libraries. Looking Back 10 Years and Forging New Frontiers","","","","10.1007/978-3-540-77094-7_15","Heung-Nam KimInay HaSeung-Hoon LeeGeun-Sik Jo","2007","http://link.springer.com/chapter/10.1007/978-3-540-77094-7_15","Chapter"
"The Novel: Incident on Simpac III","Incident on Simpac III","","","","10.1007/978-3-319-93160-9_1","Doug Brugge","2018","http://link.springer.com/chapter/10.1007/978-3-319-93160-9_1","Chapter"
"A university-oriented Web 2.0 services portal","Information Systems Frontiers","","13","2","10.1007/s10796-009-9188-6","Jia ZhangKarthik AkulaMomtazul KarimRaghu Kumar Reddy Ariga","2011","http://link.springer.com/article/10.1007/s10796-009-9188-6","Article"
"Event-Driven Ontology Updating","Web Information Systems Engineering - WISE 2012","","","","10.1007/978-3-642-35063-4_4","Jordy SangersFrederik HogenboomFlavius Frasincar","2012","http://link.springer.com/chapter/10.1007/978-3-642-35063-4_4","Chapter"
"The Impact of Fluid Publishing on Media Information Management—A Survey of Latest Journalistic Trends as Data-Driven Journalism, Journalism as Process and Metrics-Driven Journalism","Information Systems and Management in Media and Entertainment Industries","","","","10.1007/978-3-319-49407-4_15","Björn StocklebenArtur Lugmayr","2016","http://link.springer.com/chapter/10.1007/978-3-319-49407-4_15","Chapter"
"Terms of a Feather: Content-Based News Recommendation and Discovery Using Twitter","Advances in Information Retrieval","","","","10.1007/978-3-642-20161-5_44","Owen PhelanKevin McCarthyMike BennettBarry Smyth","2011","http://link.springer.com/chapter/10.1007/978-3-642-20161-5_44","Chapter"
