Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Internet Science","Lecture Notes in Computer Science","","","","10.1007/978-3-319-70284-1","Ioannis KompatsiarisJonathan CaveAnna SatsiouGeorg CarleDr. Antonella PassaniEfstratios KontopoulosSotiris DiplarisDonald McMillan","2017","http://link.springer.com/book/10.1007/978-3-319-70284-1","Book"
"Time-Sensitive Topic-Based Communities on Twitter","Advances in Artificial Intelligence","","","","10.1007/978-3-319-34111-8_25","Hossein FaniFattane ZarrinkalamEbrahim BagheriWeichang Du","2016","http://link.springer.com/chapter/10.1007/978-3-319-34111-8_25","Chapter"
"Diversifying User Comments on News Articles","Web Information Systems Engineering - WISE 2012","","","","10.1007/978-3-642-35063-4_8","Giorgos GiannopoulosIngmar WeberAlejandro JaimesTimos Sellis","2012","http://link.springer.com/chapter/10.1007/978-3-642-35063-4_8","Chapter"
"A Mobile Context-Aware Proactive Recommendation Approach","Computational Collective Intelligence","","","","10.1007/978-3-319-24069-5_38","Imen AkermiRim Faiz","2015","http://link.springer.com/chapter/10.1007/978-3-319-24069-5_38","Chapter"
"News Popularity Prediction with Local-Global Long-Short-Term Embedding","Web Information Systems Engineering – WISE 2021","","","","10.1007/978-3-030-91560-5_6","Shuai FanChen LinHui LiQuan Zou","2021","http://link.springer.com/chapter/10.1007/978-3-030-91560-5_6","Chapter"
"Introduction to Recommender Systems Handbook","Recommender Systems Handbook","","","","10.1007/978-0-387-85820-3_1","Francesco RicciLior RokachBracha Shapira","2011","http://link.springer.com/chapter/10.1007/978-0-387-85820-3_1","Chapter"
"A Taxonomy of Recommender Agents on the Internet","Artificial Intelligence Review","","19","4","10.1023/A:1022850703159","Miquel MontanerBeatriz LópezJosep Lluís de la Rosa","2003","http://link.springer.com/article/10.1023/A%3A1022850703159","Article"
"Topic Modeling on Online News Extraction","Intelligent Computing and Information and Communication","","","","10.1007/978-981-10-7245-1_60","Aashka SahniSushila Palwe","2018","http://link.springer.com/chapter/10.1007/978-981-10-7245-1_60","Chapter"
"Extracting Keyphrases from News Articles Using Crowdsourcing","Urban Intelligence and Applications","","","","10.1007/978-3-030-45099-1_17","Qingren WangJinqin ZhongLichuan GuKai YangVictor S. Sheng","2020","http://link.springer.com/chapter/10.1007/978-3-030-45099-1_17","Chapter"
"Innovations in Cyber Physical Systems","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-16-4149-7","Prof. Jawar SinghDr. Sudhir KumarDr. Umakanta Choudhury","2021","http://link.springer.com/book/10.1007/978-981-16-4149-7","Book"
"Recommender Systems and the Social Web","Advances in User Modeling","","","","10.1007/978-3-642-28509-7_7","Amit TiroshiTsvi KuflikJudy KayBob Kummerfeld","2012","http://link.springer.com/chapter/10.1007/978-3-642-28509-7_7","Chapter"
"Personalized Information Access Using Semantic Knowledge","Smart Information Systems","","","","10.1007/978-3-319-14178-7_7","Till PlumbaumAndreas Lommatzsch","2015","http://link.springer.com/chapter/10.1007/978-3-319-14178-7_7","Chapter"
"TUMS: Twitter-Based User Modeling Service","The Semantic Web: ESWC 2011 Workshops","","","","10.1007/978-3-642-25953-1_22","Ke TaoFabian AbelQi GaoGeert-Jan Houben","2012","http://link.springer.com/chapter/10.1007/978-3-642-25953-1_22","Chapter"
"Social Media und Wissensklüfte","","","","","10.1007/978-3-658-23158-3","Patricia Müller","2019","http://link.springer.com/book/10.1007/978-3-658-23158-3","Book"
"Tracking the evolution of social emotions with topic models","Knowledge and Information Systems","","47","3","10.1007/s10115-015-0865-0","Chen ZhuHengshu ZhuYong GeEnhong ChenQi LiuTong XuHui Xiong","2016","http://link.springer.com/article/10.1007/s10115-015-0865-0","Article"
"HCI International 2020 - Posters","Communications in Computer and Information Science","","","","10.1007/978-3-030-50726-8","Prof. Constantine StephanidisDr. Margherita Antona","2020","http://link.springer.com/book/10.1007/978-3-030-50726-8","Book"
"Proceedings of Data Analytics and Management","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-981-16-6285-0","Dr. Deepak GuptaProf. Zdzislaw PolkowskiDr. Ashish KhannaDr. Siddhartha BhattacharyyaProf. Oscar Castillo","2022","http://link.springer.com/book/10.1007/978-981-16-6285-0","Book"
"A topic recommender for journalists","Information Retrieval Journal","","22","1 - 2","10.1007/s10791-018-9333-2","Alessandro CucchiarelliChristian MorbidoniGiovanni StiloPaola Velardi","2019","http://link.springer.com/article/10.1007/s10791-018-9333-2","Article"
"Recommendation Systems in Real Applications: Algorithm and Parallel Architecture","Security, Privacy, and Anonymity in Computation, Communication, and Storage","","","","10.1007/978-3-319-49148-6_5","Mengxian LiWenjun JiangKenli Li","2016","http://link.springer.com/chapter/10.1007/978-3-319-49148-6_5","Chapter"
"Proceedings of the Future Technologies Conference (FTC) 2021, Volume 2","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-89880-9","Prof. Dr. Kohei Arai","2022","http://link.springer.com/book/10.1007/978-3-030-89880-9","Book"
"Topology-Based Recommendation of Users in Micro-Blogging Communities","Journal of Computer Science and Technology","","27","3","10.1007/s11390-012-1249-5","Marcelo G. ArmentanoDaniela GodoyAnalía Amandi","2012","http://link.springer.com/article/10.1007/s11390-012-1249-5","Article"
"Personalisation in web computing and informatics: Theories, techniques, applications, and future research","Information Systems Frontiers","","12","5","10.1007/s10796-009-9199-3","Min GaoKecheng LiuZhongfu Wu","2010","http://link.springer.com/article/10.1007/s10796-009-9199-3","Article"
"Toward Ontology Representation and Reasoning for News","Linked Data and Knowledge Graph","","","","10.1007/978-3-642-54025-7_16","Xubo WenXiaoli MaJuanzi LiJeff Z. PanJiayu Xie","2013","http://link.springer.com/chapter/10.1007/978-3-642-54025-7_16","Chapter"
"The Semantic Web","Lecture Notes in Computer Science","","","","10.1007/978-3-030-49461-2","Andreas HarthSabrina KirraneAxel-Cyrille Ngonga NgomoHeiko PaulheimAnisa RulaAnna Lisa GentileDr. Peter HaaseMichael Cochez","2020","http://link.springer.com/book/10.1007/978-3-030-49461-2","Book"
"Stream-Based Recommendation for Enterprise Social Media Streams","Business Information Systems","","","","10.1007/978-3-642-38366-3_15","Torsten LunzePhilipp KatzDirk RöhrbornAlexander Schill","2013","http://link.springer.com/chapter/10.1007/978-3-642-38366-3_15","Chapter"
"Information for a Better World: Shaping the Global Future","Lecture Notes in Computer Science","","","","10.1007/978-3-030-96957-8","Malte Smits","2022","http://link.springer.com/book/10.1007/978-3-030-96957-8","Book"
"Extended Bayesian Personalized Ranking Based on Consumption Behavior","Artificial Intelligence and Machine Learning","","","","10.1007/978-3-030-65154-1_9","Alireza GharahighehiCeline Vens","2020","http://link.springer.com/chapter/10.1007/978-3-030-65154-1_9","Chapter"
"Web Information Systems and Applications","Lecture Notes in Computer Science","","","","10.1007/978-3-030-87571-8","Chunxiao XingProf. Xiaoming FuYong ZhangGuigang ZhangChaolemen Borjigin","2021","http://link.springer.com/book/10.1007/978-3-030-87571-8","Book"
"Proceedings of International Conference on Communication and Computational Technologies","Algorithms for Intelligent Systems","","","","10.1007/978-981-16-3246-4","Dr. Sandeep KumarDr. Sunil Dutt PurohitDr. Saroj HiranwalDr. Mukesh Prasad","2021","http://link.springer.com/book/10.1007/978-981-16-3246-4","Book"
"Grundlagen der Medienwirtschaft","","","","","10.1007/978-3-658-15252-9","Prof. Dr. Christoph Zydorek","2018","http://link.springer.com/book/10.1007/978-3-658-15252-9","Book"
"Nachrichtenrezeption auf Facebook","","","","","10.1007/978-3-658-24229-9","Anna Sophie Kümpel","2019","http://link.springer.com/book/10.1007/978-3-658-24229-9","Book"
"2021 International Conference on Big Data Analytics for Cyber-Physical System in Smart City","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-981-16-7469-3","Prof. Mohammed AtiquzzamanProf. Dr. Dr. Neil YenProf. Zheng Xu","2022","http://link.springer.com/book/10.1007/978-981-16-7469-3","Book"
"Recommender Systems, Basics of","Encyclopedia of Social Network Analysis and Mining","","","","10.1007/978-1-4939-7131-2_110158","Marco de GemmisPasquale LopsMarco Polignano","2018","http://link.springer.com/referenceworkentry/10.1007/978-1-4939-7131-2_110158","ReferenceWorkEntry"
"Recommender Systems, Basics Of","Encyclopedia of Social Network Analysis and Mining","","","","10.1007/978-1-4614-7163-9_110158-1","Marco de GemmisPasquale LopsMarco Polignano","2017","http://link.springer.com/referenceworkentry/10.1007/978-1-4614-7163-9_110158-1","ReferenceWorkEntry"
"Embarrassingly shallow auto-encoders for dynamic collaborative filtering","User Modeling and User-Adapted Interaction","","","","10.1007/s11257-021-09314-7","Olivier JeunenJan Van BalenBart Goethals","2022","http://link.springer.com/article/10.1007/s11257-021-09314-7","Article"
"Aligning AI Optimization to Community Well-Being","International Journal of Community Well-Being","","3","4","10.1007/s42413-020-00086-3","Jonathan Stray","2020","http://link.springer.com/article/10.1007/s42413-020-00086-3","Article"
"Temporal Latent Space Modeling for Community Prediction","Advances in Information Retrieval","","","","10.1007/978-3-030-45439-5_49","Hossein FaniEbrahim BagheriWeichang Du","2020","http://link.springer.com/chapter/10.1007/978-3-030-45439-5_49","Chapter"
"Neural Information Processing","Communications in Computer and Information Science","","","","10.1007/978-3-030-92310-5","Dr. Teddy MantoroMinho LeeMedia Anugerah AyuDr. Kok Wai WongDr. Achmad Nizar Hidayanto","2021","http://link.springer.com/book/10.1007/978-3-030-92310-5","Book"
"Session-based item recommendation in e-commerce: on short-term intents, reminders, trends and discounts","User Modeling and User-Adapted Interaction","","27","3 - 5","10.1007/s11257-017-9194-1","Dietmar JannachMalte LudewigLukas Lerche","2017","http://link.springer.com/article/10.1007/s11257-017-9194-1","Article"
"Collaborative filtering for expansion of learner’s background knowledge in online language learning: does “top-down” processing improve vocabulary proficiency?","Educational Technology Research and Development","","62","5","10.1007/s11423-014-9344-7","Masanori YamadaSatoshi KitamuraHideya MatsukawaTadashi MisonoNoriko KitaniYuhei Yamauchi","2014","http://link.springer.com/article/10.1007/s11423-014-9344-7","Article"
"Wahrheit und Fake im postfaktisch-digitalen Zeitalter","ars digitalis","","","","10.1007/978-3-658-32957-0","Dr. Dr. Peter KlimczakProf. Dr. Thomas Zoglauer","2021","http://link.springer.com/book/10.1007/978-3-658-32957-0","Book"
"Cold Start in Recommender Systems—A Survey from Domain Perspective","Intelligent Data Communication Technologies and Internet of Things","","","","10.1007/978-981-15-9509-7_19","Rachna SethiMonica Mehrotra","2021","http://link.springer.com/chapter/10.1007/978-981-15-9509-7_19","Chapter"
"Towards responsible media recommendation","AI and Ethics","","","","10.1007/s43681-021-00107-7","Mehdi ElahiDietmar JannachLars SkjærvenErik KnudsenHelle SjøvaagKristian TolonenØyvind HolmstadIgor PipkinEivind ThrondsenAgnes StenbomEivind FiskerudAdrian OeschLoek VredenbergChristoph Trattner","2021","http://link.springer.com/article/10.1007/s43681-021-00107-7","Article"
"How do people judge the credibility of algorithmic sources?","AI & SOCIETY","","37","1","10.1007/s00146-021-01158-4","Donghee Shin","2022","http://link.springer.com/article/10.1007/s00146-021-01158-4","Article"
"Online detection of bursty events and their evolution in news streams","Journal of Zhejiang University SCIENCE C","","11","5","10.1631/jzus.C0910245","Wei ChenChun ChenLi-jun ZhangCan WangJia-jun Bu","2010","http://link.springer.com/article/10.1631/jzus.C0910245","Article"
"Bootstrapping an Online News Knowledge Base","Web Engineering","","","","10.1007/978-3-319-38791-8_37","Klesti HoxhaArtur BaxhakuIlia Ninka","2016","http://link.springer.com/chapter/10.1007/978-3-319-38791-8_37","Chapter"
"Artificial Intelligence in HCI","Lecture Notes in Computer Science","","","","10.1007/978-3-030-77772-2","Helmut DegenDr. Stavroula Ntoa","2021","http://link.springer.com/book/10.1007/978-3-030-77772-2","Book"
"Recommender systems and their ethical challenges","AI & SOCIETY","","35","4","10.1007/s00146-020-00950-y","Silvia MilanoMariarosaria TaddeoLuciano Floridi","2020","http://link.springer.com/article/10.1007/s00146-020-00950-y","Article"
"Knowledge Graphs in Recommender Systems","Inventive Systems and Control","","","","10.1007/978-981-16-1395-1_1","T. K. NirikshaG. Aghila","2021","http://link.springer.com/chapter/10.1007/978-981-16-1395-1_1","Chapter"
"Palliative Care in Lung Disease","Respiratory Medicine","","","","10.1007/978-3-030-81788-6","Ph.D. Kathleen O. LindellMD Sonye K. Danoff","2021","http://link.springer.com/book/10.1007/978-3-030-81788-6","Book"
"User Modeling for Adaptive News Access","User Modeling and User-Adapted Interaction","","10","2 - 3","10.1023/A:1026501525781","Daniel BillsusMichael J. Pazzani","2000","http://link.springer.com/article/10.1023/A%3A1026501525781","Article"
"Context aware personalized content recommendation using ontology based spreading activation","International Journal of Information Technology","","10","2","10.1007/s41870-017-0052-5","Sachin PapnejaKapil SharmaNitesh Khilwani","2018","http://link.springer.com/article/10.1007/s41870-017-0052-5","Article"
"Advanced Topics in Recommender Systems","Recommender Systems","","","","10.1007/978-3-319-29659-3_13","Charu C. Aggarwal","2016","http://link.springer.com/chapter/10.1007/978-3-319-29659-3_13","Chapter"
"From Opinion Mining to Financial Argument Mining","SpringerBriefs in Computer Science","","","","10.1007/978-981-16-2881-8","Chung-Chi ChenProf. Hen-Hsen HuangHsin-Hsi Chen","2021","http://link.springer.com/book/10.1007/978-981-16-2881-8","Book"
"Adaptive personalization using social networks","Journal of the Academy of Marketing Science","","44","1","10.1007/s11747-015-0441-x","Tuck Siong ChungMichel WedelRoland T. Rust","2016","http://link.springer.com/article/10.1007/s11747-015-0441-x","Article"
"Algorithms and criteria for diversification of news article comments","Journal of Intelligent Information Systems","","44","1","10.1007/s10844-014-0328-1","Giorgos GiannopoulosMarios KoniarisIngmar WeberAlejandro JaimesTimos Sellis","2015","http://link.springer.com/article/10.1007/s10844-014-0328-1","Article"
"Are Most-Viewed News Articles Most-Shared?","Information Retrieval Technology","","","","10.1007/978-3-642-45068-6_35","Yangjie YaoAixin Sun","2013","http://link.springer.com/chapter/10.1007/978-3-642-45068-6_35","Chapter"
"Proceedings of International Conference on Advanced Computing Applications","Advances in Intelligent Systems and Computing","","","","10.1007/978-981-16-5207-3","Prof. Jyotsna Kumar MandalDr. Rajkumar BuyyaProf. Dr. Debashis De","2022","http://link.springer.com/book/10.1007/978-981-16-5207-3","Book"
"Multidimensional Analysis of the News Consumption of Different Demographic Groups on a Nationwide Scale","Social Informatics","","","","10.1007/978-3-319-67217-5_9","Jisun AnHaewoon Kwak","2017","http://link.springer.com/chapter/10.1007/978-3-319-67217-5_9","Chapter"
"Matching Recommendation Technologies and Domains","Recommender Systems Handbook","","","","10.1007/978-0-387-85820-3_11","Robin BurkeMaryam Ramezani","2011","http://link.springer.com/chapter/10.1007/978-0-387-85820-3_11","Chapter"
"A Deep Learning-Based Recommendation System to Enable End User Access to Financial Linked Knowledge","Hybrid Artificial Intelligent Systems","","","","10.1007/978-3-319-92639-1_1","Luis Omar Colombo-MendozaJosé Antonio García-DíazJuan Miguel Gómez-BerbísRafael Valencia-García","2018","http://link.springer.com/chapter/10.1007/978-3-319-92639-1_1","Chapter"
"Advances in Artificial Intelligence and Security","Communications in Computer and Information Science","","","","10.1007/978-3-030-78621-2","Xingming SunProf. Xiaorui ZhangZhihua XiaProf. Dr. Elisa Bertino","2021","http://link.springer.com/book/10.1007/978-3-030-78621-2","Book"
"Willing to pay for quality personalization? Trade-off between quality and privacy","European Journal of Information Systems","","21","6","10.1057/ejis.2012.13","Ting LiTill Unger","2012","http://link.springer.com/article/10.1057/ejis.2012.13","Article"
"Big Data and Social Media Analytics","Lecture Notes in Social Networks","","","","10.1007/978-3-030-67044-3","Dr. Mehmet ÇakırtaşDr. Mehmet Kemal Ozdemir","2021","http://link.springer.com/book/10.1007/978-3-030-67044-3","Book"
"Learning to Rank for Personalised Fashion Recommender Systems via Implicit Feedback","Mining Intelligence and Knowledge Exploration","","","","10.1007/978-3-319-13817-6_6","Hai Thanh NguyenThomas AlmenningenMartin HavigHerman SchistadAnders Kofod-PetersenHelge LangsethHeri Ramampiaro","2014","http://link.springer.com/chapter/10.1007/978-3-319-13817-6_6","Chapter"
"Content-Based Recommender Systems","Recommender Systems","","","","10.1007/978-3-319-29659-3_4","Charu C. Aggarwal","2016","http://link.springer.com/chapter/10.1007/978-3-319-29659-3_4","Chapter"
"Emotion-Based Recommender System for Overcoming the Problem of Information Overload","Highlights on Practical Applications of Agents and Multi-Agent Systems","","","","10.1007/978-3-642-38061-7_18","Hernani CostaLuis Macedo","2013","http://link.springer.com/chapter/10.1007/978-3-642-38061-7_18","Chapter"
"Recommender Systems in Fashion and Retail","Lecture Notes in Electrical Engineering","","","","10.1007/978-3-030-94016-4","Prof. Nima DokoohakiShatha JaradatHumberto Jesús Corona PampínDr. Reza Shirvany","2022","http://link.springer.com/book/10.1007/978-3-030-94016-4","Book"
"Washington News","MRS Bulletin","","21","3","10.1557/S088376940003606X","","1996","http://link.springer.com/article/10.1557/S088376940003606X","Article"
"First International Workshop on Recent Trends in News Information Retrieval (NewsIR’16)","Advances in Information Retrieval","","","","10.1007/978-3-319-30671-1_85","Miguel Martinez-AlvarezUdo KruschwitzGabriella KazaiFrank HopfgartnerDavid CorneyRicardo CamposDyaa Albakour","2016","http://link.springer.com/chapter/10.1007/978-3-319-30671-1_85","Chapter"
"Neural Gender Prediction from News Browsing Data","Chinese Computational Linguistics","","","","10.1007/978-3-030-32381-3_53","Chuhan WuFangzhao WuTao QiYongfeng HuangXing Xie","2019","http://link.springer.com/chapter/10.1007/978-3-030-32381-3_53","Chapter"
"A survey on trustworthy model of recommender system","International Journal of System Assurance Engineering and Management","","","","10.1007/s13198-021-01085-z","Govind Kumar JhaManish GaurPreetish RanjanHardeo Kumar Thakur","2021","http://link.springer.com/article/10.1007/s13198-021-01085-z","Article"
"HCI International 2020 - Posters","Communications in Computer and Information Science","","","","10.1007/978-3-030-50732-9","Prof. Constantine StephanidisDr. Margherita Antona","2020","http://link.springer.com/book/10.1007/978-3-030-50732-9","Book"
"A language model-based framework for multi-publisher content-based recommender systems","Information Retrieval Journal","","21","5","10.1007/s10791-018-9327-0","Hamed ZamaniAzadeh Shakery","2018","http://link.springer.com/article/10.1007/s10791-018-9327-0","Article"
"Interaction and Personalization of Criteria in Recommender Systems","User Modeling, Adaptation, and Personalization","","","","10.1007/978-3-642-13470-8_18","Shawn R. WolfeYi Zhang","2010","http://link.springer.com/chapter/10.1007/978-3-642-13470-8_18","Chapter"
"Identifying Suspicious Cases in the Hong Kong Stock Market Using Commentators’ Stock News","Genetic and Evolutionary Computing","","","","10.1007/978-981-10-6487-6_6","Li QuanJean Lai","2018","http://link.springer.com/chapter/10.1007/978-981-10-6487-6_6","Chapter"
"An Analysis of Influential Users for Predicting the Popularity of News Tweets","PRICAI 2016: Trends in Artificial Intelligence","","","","10.1007/978-3-319-42911-3_26","Krissada Maleewong","2016","http://link.springer.com/chapter/10.1007/978-3-319-42911-3_26","Chapter"
"Artificial Intelligence","Lecture Notes in Computer Science","","","","10.1007/978-3-030-93046-2","Lu FangYiran ChenProf. Guangtao ZhaiJane WangProf. Ruiping WangWeisheng Dong","2021","http://link.springer.com/book/10.1007/978-3-030-93046-2","Book"
"Content-Based Recommender System Enriched with Wordnet Synsets","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-319-18117-2_22","Haifa AlharthiDiana Inkpen","2015","http://link.springer.com/chapter/10.1007/978-3-319-18117-2_22","Chapter"
"A Live Comparison of Methods for Personalized Article Recommendation at Forbes.com","Machine Learning and Knowledge Discovery in Databases","","","","10.1007/978-3-642-33486-3_4","Evan KirshenbaumGeorge FormanMichael Dugan","2012","http://link.springer.com/chapter/10.1007/978-3-642-33486-3_4","Chapter"
"Research directions in session-based and sequential recommendation","User Modeling and User-Adapted Interaction","","30","4","10.1007/s11257-020-09274-4","Dietmar JannachBamshad MobasherShlomo Berkovsky","2020","http://link.springer.com/article/10.1007/s11257-020-09274-4","Article"
"Content Recommendation Based on Topic Modeling","Computational Methods and Data Engineering","","","","10.1007/978-981-15-6876-3_1","Sachin PapnejaKapil SharmaNitesh Khilwani","2021","http://link.springer.com/chapter/10.1007/978-981-15-6876-3_1","Chapter"
"Improving Rocchio Algorithm for Updating User Profile in Recommender Systems","Web Information Systems Engineering – WISE 2013","","","","10.1007/978-3-642-41230-1_14","Chong WangYao ShenHuan YangMinyi Guo","2013","http://link.springer.com/chapter/10.1007/978-3-642-41230-1_14","Chapter"
"Bedeutende Daten","Medien • Kultur • Kommunikation","","","","10.1007/978-3-658-11781-8","Thorben MämeckeJan-Hendrik PassothJosef Wehner","2018","http://link.springer.com/book/10.1007/978-3-658-11781-8","Book"
"Artificial Intelligence for Business","SpringerBriefs in Business","","","","10.1007/978-3-319-97436-1","Rajendra Akerkar","2019","http://link.springer.com/book/10.1007/978-3-319-97436-1","Book"
"Web page recommendation via twofold clustering: considering user behavior and topic relation","Neural Computing and Applications","","29","1","10.1007/s00521-016-2444-z","Xianfen XieBinhui Wang","2018","http://link.springer.com/article/10.1007/s00521-016-2444-z","Article"
"User interface patterns in recommendation-empowered content intensive multimedia applications","Multimedia Tools and Applications","","76","4","10.1007/s11042-016-3946-5","Paolo CremonesiMehdi ElahiFranca Garzotto","2017","http://link.springer.com/article/10.1007/s11042-016-3946-5","Article"
"MFI-TransSW+: Efficiently Mining Frequent Itemsets in Clickstreams","E-Commerce and Web Technologies","","","","10.1007/978-3-319-53676-7_7","Franklin A. de AmorimBernardo Pereira NunesGiseli Rabello LopesMarco A. Casanova","2017","http://link.springer.com/chapter/10.1007/978-3-319-53676-7_7","Chapter"
"Advanced Hybrid Information Processing","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering","","","","10.1007/978-3-030-94554-1","Shuai LiuDr. Xuefei Ma","2022","http://link.springer.com/book/10.1007/978-3-030-94554-1","Book"
"A Walk Through Various Paradigms for Fake News Detection on Social Media","Proceedings of International Conference on Computational Intelligence and Data Engineering","","","","10.1007/978-981-15-8767-2_16","T. V. DivyaBarnali Gupta Banik","2021","http://link.springer.com/chapter/10.1007/978-981-15-8767-2_16","Chapter"
"Advances in Artificial Intelligence and Applied Cognitive Computing","Transactions on Computational Science and Computational Intelligence","","","","10.1007/978-3-030-70296-0","Dr. Hamid R. ArabniaDr. Ken FerensDavid de la FuenteElena B. KozerenkoProf. Dr. José Angel Olivas VarelaFernando G. Tinetti","2021","http://link.springer.com/book/10.1007/978-3-030-70296-0","Book"
"Social Recommender Systems","Recommender Systems Handbook","","","","10.1007/978-1-4899-7637-6_15","Ido Guy","2015","http://link.springer.com/chapter/10.1007/978-1-4899-7637-6_15","Chapter"
"Enhancing online video recommendation using social user interactions","The VLDB Journal","","26","5","10.1007/s00778-017-0469-2","Xiangmin ZhouLei ChenYanchun ZhangDong QinLongbing CaoGuangyan HuangChen Wang","2017","http://link.springer.com/article/10.1007/s00778-017-0469-2","Article"
"Temporal Aspects of Content Recommendation on a Microblog Corpus","Computational Processing of the Portuguese Language","","","","10.1007/978-3-319-09761-9_20","Caio Ramos CasimiroIvandré Paraboni","2014","http://link.springer.com/chapter/10.1007/978-3-319-09761-9_20","Chapter"
"A Literature Review for Recommender Systems Techniques Used in Microblogs","Dynamic Profiles for Voting Advice Applications","","","","10.1007/978-3-030-24090-5_3","Luis Terán","2020","http://link.springer.com/chapter/10.1007/978-3-030-24090-5_3","Chapter"
"TrendsSummary: a platform for retrieving and summarizing trendy multimedia contents","Multimedia Tools and Applications","","73","2","10.1007/s11042-013-1547-0","Daehoon KimDaeyong KimSanghoon JunSeungmin RhoEenjun Hwang","2014","http://link.springer.com/article/10.1007/s11042-013-1547-0","Article"
"What’s news? Encounters with news in everyday life: a study of behaviours and attitudes","International Journal on Digital Libraries","","17","3","10.1007/s00799-016-0187-1","Sally Jo CunninghamDavid M. NicholsAnnika HinzeJudy Bowen","2016","http://link.springer.com/article/10.1007/s00799-016-0187-1","Article"
"Digital News Resources: An Autoethnographic Study of News Encounters","Research and Advanced Technology for Digital Libraries","","","","10.1007/978-3-319-24592-8_7","Sally Jo CunninghamDavid M. NicholsAnnika HinzeJudy Bowen","2015","http://link.springer.com/chapter/10.1007/978-3-319-24592-8_7","Chapter"
"Recommendation System Based on Semantic Web","The 2021 International Conference on Machine Learning and Big Data Analytics for IoT Security and Privacy","","","","10.1007/978-3-030-89511-2_66","Wenyue Chen","2022","http://link.springer.com/chapter/10.1007/978-3-030-89511-2_66","Chapter"
"Digitaler Strukturwandel der Öffentlichkeit","Mediensymposium","","","","10.1007/978-3-658-32133-8","Prof. Dr. Mark EiseneggerProf. Dr. Marlis PrinzingDr. Patrik EttingerProf. Dr. Roger Blum","2021","http://link.springer.com/book/10.1007/978-3-658-32133-8","Book"
"Arousal Prediction of News Articles in Social Media","Mining Intelligence and Knowledge Exploration","","","","10.1007/978-3-319-71928-3_30","Nagendra KumarAnusha YadandlaK. SuryamukhiNeha RanabothuSravani BoyaManish Singh","2017","http://link.springer.com/chapter/10.1007/978-3-319-71928-3_30","Chapter"
"Follow My Friends This Friday! An Analysis of Human-Generated Friendship Recommendations","Social Informatics","","","","10.1007/978-3-319-03260-3_5","Ruth Garcia GavilanesNeil O’HareLuca Maria AielloAlejandro Jaimes","2013","http://link.springer.com/chapter/10.1007/978-3-319-03260-3_5","Chapter"
"Evaluation of session-based recommendation algorithms","User Modeling and User-Adapted Interaction","","28","4 - 5","10.1007/s11257-018-9209-6","Malte LudewigDietmar Jannach","2018","http://link.springer.com/article/10.1007/s11257-018-9209-6","Article"
"Semantics-Aware Content-Based Recommender Systems","Recommender Systems Handbook","","","","10.1007/978-1-4899-7637-6_4","Marco de GemmisPasquale LopsCataldo MustoFedelucio NarducciGiovanni Semeraro","2015","http://link.springer.com/chapter/10.1007/978-1-4899-7637-6_4","Chapter"
"Evaluation Infrastructures for Academic Shared Tasks","Datenbank-Spektrum","","20","1","10.1007/s13222-020-00335-x","Johann SchaibleTimo BreuerNarges TavakolpoursalehBernd MüllerBenjamin WolffPhilipp Schaer","2020","http://link.springer.com/article/10.1007/s13222-020-00335-x","Article"
"Handbuch Online-Kommunikation","","","","","10.1007/978-3-658-18016-4","Prof. Dr. Wolfgang SchweigerProf. Dr. Klaus Beck","2019","http://link.springer.com/book/10.1007/978-3-658-18016-4","Book"
"User Modelling for News Web Sites with Word Sense Based Techniques","User Modeling and User-Adapted Interaction","","14","2 - 3","10.1023/B:USER.0000028980.13669.44","Bernardo MagniniCarlo Strapparava","2004","http://link.springer.com/article/10.1023/B%3AUSER.0000028980.13669.44","Article"
"Recommendations in location-based social networks: a survey","GeoInformatica","","19","3","10.1007/s10707-014-0220-8","Jie BaoYu ZhengDavid WilkieMohamed Mokbel","2015","http://link.springer.com/article/10.1007/s10707-014-0220-8","Article"
"An Introduction to Recommender Systems","Recommender Systems","","","","10.1007/978-3-319-29659-3_1","Charu C. Aggarwal","2016","http://link.springer.com/chapter/10.1007/978-3-319-29659-3_1","Chapter"
"Construction of Examination Questions Database of Medical Information Retrieval Course Based on Multivariate Collaborative Filtering Recommendation Algorithm","2021 International Conference on Applications and Techniques in Cyber Intelligence","","","","10.1007/978-3-030-79197-1_65","Lianhuan Li","2021","http://link.springer.com/chapter/10.1007/978-3-030-79197-1_65","Chapter"
"Prick the filter bubble: A novel cross domain recommendation model with adaptive diversity regularization","Electronic Markets","","","","10.1007/s12525-021-00492-1","Jianshan SunJian SongYuanchun JiangYezheng LiuJun Li","2021","http://link.springer.com/article/10.1007/s12525-021-00492-1","Article"
"Text, Speech, and Dialogue","Lecture Notes in Computer Science","","","","10.1007/978-3-030-83527-9","Kamil EkšteinFrantišek PártlMiloslav Konopík","2021","http://link.springer.com/book/10.1007/978-3-030-83527-9","Book"
